repo,status,weight_class,code_lines,prose_lines,test_lines,generated_lines,stars_at_measurement,license_spdx,license_family,license_note,renamed_to,size_kb
ifixai-ai/iFixAi,measured,fork-class,100956,7385,0,0,15547,Apache-2.0,permissive,,,
internet-court/internet-court-skill,measured,medium,14860,123347,0,0,5842,NOASSERTION,permissive,MIT,,
JetBrains/go-modern-guidelines,measured,prompt-class,1008,2380,793,0,3618,Apache-2.0,permissive,,,
jingyaogong/minimind,measured,medium,4711,4157,0,0,61608,Apache-2.0,permissive,,,
jo-inc/camofox-browser,measured,medium,15911,2019,15764,0,11089,MIT,permissive,,,
JustVugg/colibri,measured,fork-class,134411,15717,51085,0,36173,Apache-2.0,permissive,,,
K-Dense-AI/scientific-agent-skills,measured,fork-class,172934,356731,52326,0,,,permissive,MIT,,
k2-fsa/OmniVoice,measured,medium,15656,2096,225,0,13559,Apache-2.0,permissive,,,
langwatch/langwatch,measured,fork-class,1602756,243820,1540683,521227,4816,Apache-2.0,permissive,,,
laoma2053/awesome-zhuiju-free,measured,small,2018,5435,0,0,8894,CC-BY-4.0,permissive,,,
larashero3-dotcom/lieflat-charts,measured,small,754,1202,0,0,5544,NOASSERTION,source-available,PolyForm: named use limits,,
latent-spaces/brag,measured,prompt-class,525,2121,0,0,4937,MIT,permissive,,,
Leonxlnx/unlazy,measured,medium,3222,1467,4395,0,3462,MIT,permissive,,,
liquidslr/system-design-notes,measured,prompt-class,0,8146,0,0,20161,none,none,no licence file: rights stay with the author,,
liustack/modlens,measured,medium,14352,4000,19695,0,3986,MIT,permissive,,,
llm-as-a-verifier/llm-as-a-verifier,measured,small,2925,726,0,0,3245,MIT,permissive,,,
lnkiai/m3e-canvas,measured,fork-class,26164,737,4359,0,7425,MIT,permissive,,,
MadsLorentzen/ai-job-search,measured,medium,7648,11178,11254,0,43274,MIT,permissive,,,
magnitudedev/magnitude,measured,fork-class,257740,18673,72594,4483,4644,Apache-2.0,permissive,,,
mahlernim/google-timeline-visualizer,measured,fork-class,29702,45377,17688,0,3010,MIT,permissive,,,
mattpocock/skills,measured,prompt-class,478,7090,0,0,265313,MIT,permissive,,,
MengTo/threeui,measured,fork-class,47327,211,513,0,5942,MIT,permissive,,,
microsoft/markitdown,measured,medium,8657,1566,13230,0,185439,MIT,permissive,,,
modular/modular,not_downloaded,,,,,,29819,NOASSERTION,,not measured,,895147
mukul975/Anthropic-Cybersecurity-Skills,measured,fork-class,246058,333003,0,0,32968,Apache-2.0,permissive,,,
NanoNets/Graft,measured,fork-class,33572,1835,25956,0,8610,MIT,permissive,,trailhq/Graft,
NationalSecurityAgency/ghidra,not_downloaded,,,,,,78932,Apache-2.0,permissive,,,413898
NVlabs/SoL-Pi,measured,medium,3341,570,3393,0,2265,MIT,permissive,,,
openai/codex,measured,fork-class,1431504,23331,454661,13114,125160,Apache-2.0,permissive,,,
OpenCut-app/OpenCut,measured,medium,8197,803,0,86,89780,MIT,permissive,,,
openJiuwen-ai/jiuwenswarm,not_downloaded,,,,,,6521,Apache-2.0,permissive,,,372941
